No.;Ticker;Company;Sector;Industry;Country;Market Cap;P/E;P/B;P/Free Cash Flow;EPS growth this year;EPS growth past 5 years;EPS growth quarter over quarter;Sales growth quarter over quarter;Shares Float;Insider Ownership;Return on Equity;Total Debt/Equity;Gross Margin;Profit Margin
422;SWN;Southwestern Energy Co.;Basic Materials;Independent Oil & Gas;USA;9980;10.67;1.24;-;31.00;95.00;-78.20;-16.20;380.05;0.30;15.50;0.73;75.90;20.10
423;SYK;Stryker Corporation;Healthcare;Medical Appliances & Equipment;USA;50360;55.11;4.39;28.76;-48.70;-13.40;222.20;3.20;347.57;0.30;8.60;0.42;66.00;7.60
424;SYMC;Symantec Corporation;Technology;Security Software & Services;USA;45160;19.17;2.79;31.75;-1.60;7.70;-19.40;-6.60;674.92;0.40;14.90;0.35;82.30;13.50
425;SYY;Sysco Corporation;Services;Food Wholesale;USA;74220;26.23;4.28;92.29;-5.40;-2.20;-3.20;4.20;592.38;0.20;16.30;1.44;17.50;1.80
426;T;AT&T, Inc.;Technology;Telecom Services - Domestic;USA;881870;32.59;2.18;524.81;-64.90;-19.30;-12.90;0.30;1950;0.05;6.50;1.12;53.30;4.40
427;TAP;Molson Coors Brewing Company;Consumer Goods;Beverages - Brewers;USA;37130;31.52;1.85;36.06;-10.10;-6.80;-52.80;-14.20;141.99;0.50;5.30;0.45;39.80;10.70
428;TDC;Teradata Corporation;Technology;Data Storage Devices;USA;3350;17.70;3.77;12.36;2.60;9.80;-59.50;-7.30;140.99;0.90;19.30;0.42;53.00;12.30
429;TE;TECO Energy, Inc.;Utilities;Electric Utilities;USA;1740;18.46;1.59;-;5.70;-1.70;22.70;19.90;232.30;1.10;7.40;1.48;87.50;7.00
430;TEG;Integrys Energy Group, Inc.;Utilities;Gas Utilities;USA;6150;21.33;1.67;-;3.30;41.30;-6.90;-29.00;79.21;0.10;14.90;0.96;52.70;13.50
431;TEL;TE Connectivity Ltd.;Technology;Diversified Electronics;Switzerland;05270;14.85;3.01;34.46;42.10;21.40;-6.10;4.00;405.69;0.10;23.70;0.46;33.70;15.60
432;TGT;Target Corp.;Services;Discount, Variety Stores;USA;95530;21.56;3.82;21.27;-8.80;3.00;13.50;2.80;637.71;0.10;-2.30;0.90;29.60;-0.50
433;THC;Tenet Healthcare Corp.;Healthcare;Hospitals;USA;5850;55.11;6.61;-;128.10;-27.70;264.30;12.80;97.82;1.40;11.10;14.70;84.30;0.50
